Date,open,high,low,close,volume,market_cap,year_week
2017-01-10,895.51404733,907.12245257,893.61049614,899.96756487,72098.30922889,64886139.78782109,2017-week(02)
2017-01-11,901.26801118,913.94028634,763.34736318,775.51282413,246372.41802246,191064969.68742293,2017-week(02)
2017-01-12,775.8384617,824.02150726,748.59286486,801.1540424,164859.81160846,132078104.49912363,2017-week(02)
2017-01-13,812.9891149566666,827.2065863266668,797.04327135,817.5023669799999,77262.27906987334,63236165.62347529,2017-week(02)
2017-01-16,816.55297953,830.51602628,814.80622032,827.17318068,50557.77961292,41820039.37047552,2017-week(03)
2017-01-17,826.68474453,905.84639082,825.83734929,901.41679794,110483.82673684,99591977.32127865,2017-week(03)
2017-01-18,901.86324735,909.65967627,852.82403571,882.44649044,88061.15228718,77709254.77969015,2017-week(03)
2017-01-19,883.16548534,903.45754067,879.23183027,897.00251686,73570.81657058,65993207.63141352,2017-week(03)
2017-01-20,892.8702078599999,919.9798357599999,886.5590251466666,901.4980447633334,38672.28264584,35168324.29865107,2017-week(03)
2017-01-23,922.88310281,924.78921332,913.27516788,918.42602307,43066.15085975,39553073.6629227,2017-week(04)
2017-01-24,912.05412425,921.03004086,888.21200022,888.21200022,76340.77673063,67806793.9979142,2017-week(04)
2017-01-25,888.76252377,902.19225701,887.18053526,893.22477366,49218.1047715,43962830.49462855,2017-week(04)
2017-01-26,893.77058746,914.76805564,893.77058746,912.43961746,47067.20782392,42945985.10166036,2017-week(04)
2017-01-27,914.92684878,919.13071125,912.0087919633334,915.14049554,25518.709910616668,23362685.255989198,2017-week(04)
2017-01-30,912.57519854,919.53104217,911.13433466,916.89020069,27640.23937252,25343064.62538848,2017-week(05)
2017-01-31,917.06620015,966.00514918,917.06620015,963.5199714,73726.01452728,71036487.40912034,2017-week(05)
2017-02-01,963.367211,981.87599498,962.59125998,981.20375431,58819.34101403,57713758.22910888,2017-week(05)
2017-02-02,982.03752656,1007.84944124,974.14842475,1004.30421288,68395.89312927,68690283.61320986,2017-week(05)
2017-02-03,1015.8264325233334,1027.6105144599999,1000.6619916466667,1017.3765979633334,60877.90811666334,61934641.978486605,2017-week(05)
2017-02-06,1009.86420013,1026.42264413,1009.41747788,1022.84150354,44232.22701917,45242557.58927817,2017-week(06)
2017-02-07,1023.24474789,1051.65806373,1022.51832195,1050.02393149,58411.27193766,61333233.40327778,2017-week(06)
